# time [s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5
2.131000;0.013563;0.016033;0.007087;0.128727;-30.000000;0.017964
2.132000;0.013567;0.016050;0.007101;0.128763;-30.000000;0.027192
2.134000;0.013570;0.016065;0.007113;0.128812;-30.000000;0.036314
2.135000;0.013574;0.016077;0.007123;0.128872;-30.000000;0.045327
2.136000;0.013579;0.016087;0.007131;0.128945;-30.000000;0.054230
2.137000;0.013583;0.016095;0.007136;0.129029;-30.000000;0.063022
2.139000;0.013587;0.016100;0.007140;0.129124;-30.000000;0.071702
2.140000;0.013592;0.016104;0.007143;0.129231;-30.000000;0.080270
2.141000;0.013597;0.016106;0.007143;0.129350;-30.000000;0.088724
2.143000;0.013602;0.016107;0.007143;0.129479;-30.000000;0.097064
2.144000;0.013607;0.016106;0.007141;0.129619;-30.000000;0.105291
2.145000;0.013613;0.016103;0.007137;0.129646;-30.000000;0.020070
2.146000;0.013618;0.016099;0.007131;0.129685;-30.000000;0.029311
2.148000;0.013623;0.016094;0.007124;0.129736;-30.000000;0.038418
2.149000;0.013628;0.016088;0.007116;0.129800;-30.000000;0.047394
2.150000;0.013633;0.016081;0.007107;0.129875;-30.000000;0.056238
2.152000;0.013637;0.016073;0.007098;0.129961;-30.000000;0.064953
2.153000;0.013642;0.016064;0.007089;0.130059;-30.000000;0.073539
2.154000;0.013647;0.016055;0.007079;0.130169;-30.000000;0.081997
2.155000;0.013651;0.016046;0.007069;0.130289;-30.000000;0.090329
2.157000;0.013655;0.016035;0.007059;0.130420;-30.000000;0.098537
2.158000;0.013659;0.016025;0.007049;0.130563;-30.000000;0.106622
2.159000;0.013663;0.016014;0.007039;0.130591;-30.000000;0.021253
2.161000;0.013667;0.016003;0.007027;0.130631;-30.000000;0.030339
2.162000;0.013671;0.015992;0.007015;0.130684;-30.000000;0.039288
2.163000;0.013674;0.015982;0.007004;0.130748;-30.000000;0.048103
2.164000;0.013678;0.015972;0.006993;0.130824;-30.000000;0.056786
2.166000;0.013682;0.015962;0.006983;0.130911;-30.000000;0.065339
2.167000;0.013685;0.015952;0.006974;0.131009;-30.000000;0.073766
2.168000;0.013689;0.015943;0.006965;0.131118;-30.000000;0.082069
